X.1,Great deal,Fair amount,Not very much,None at all
,%,%,%,%
Executive branch,,,,
2024 Sep 3-15,19,21,25,34
2023 Sep 1-23,15,26,23,36
2022 Sep 1-16,16,27,21,36
2021 Sep 1-17,17,27,24,32
2020 Aug 31-Sep 13,28,15,19,39
2019 Sep 3-15,24,21,23,32
2018 Sep 4-12,24,18,21,37
2017 Sep 6-10,21,24,23,32
2016 Sep 7-11,22,29,25,24
2015 Sep 9-13,16,29,27,28
2014 Sep 4-7,14,29,28,28
2013 Sep 5-8,18,33,23,25
2012 Sep 6-9,28,28,23,20
2011 Sep 8-11,17,30,29,23
2010 Sep 13-16,20,29,27,24
2009 Aug 31-Sep 2,26,35,22,16
2008 Sep 8-11,12,30,30,28
2007 Sep 14-16,15,28,32,24
2006 Sep 7-10,15,31,28,24
2005 Sep 12-15,19,33,30,18
2004 Sep 13-15,31,27,25,16
2003 Sep 8-10,25,35,26,14
2002 Sep 5-8,28,44,20,7
2001 Sep 7-10,21,42,28,8
2000 Jul 6-9,18,47,23,11
1999 Feb 4-8,21,43,24,11
1998 Dec 28-29,24,39,23,12
1997 May 30-Jun 1,13,49,27,9
1976 Jun,13,45,30,9
1974 Apr,12,28,36,20
1972 May,24,49,20,4
<b>Judicial branch</b>,,,,
2024 Sep 3-15,12,36,30,21
2023 Sep 1-23,9,40,32,19
2022 Sep 1-16,7,40,31,22
2021 Sep 1-17,10,44,32,14
2020 Aug 31-Sep 13,17,50,26,8
2019 Sep 3-15,16,53,25,6
2018 Sep 4-12,18,50,22,9
2017 Sep 6-10,16,52,24,7
2016 Sep 7-11,12,49,28,9
2015 Sep 9-13,11,42,31,16
2014 Sep 4-7,10,51,30,9
2013 Sep 5-8,13,49,28,9
2012 Sep 6-9,14,53,27,4
2011 Sep 8-11,12,51,28,8
2010 Sep 13-16,14,52,28,5
2009 Aug 31-Sep 2,18,58,18,4
2008 Sep 8-11,14,55,23,6
2007 Sep 14-16,15,54,23,6
2006 Sep 7-10,15,54,21,7
2005 Sep 12-15,13,55,25,6
2004 Sep 13-15,14,51,27,6
2003 Sep 8-10,13,54,27,5
2002 Sep 5-8,17,58,18,5
2001 Sep 7-10,17,57,20,4
2000 Jul 6-9,23,52,18,6
1999 Feb 4-8,29,51,13,5
1998 Dec 28-29,27,51,16,4
1997 May 30-Jun 1,19,52,22,5
1976 Jun,16,47,26,6
1974 Apr,17,54,20,5
1972 May,17,49,24,7
<b>Legislative branch</b>,,,,
2024 Sep 3-15,4,30,46,19
2023 Sep 1-23,2,30,44,23
2022 Sep 1-16,3,35,39,23
2021 Sep 1-17,5,32,37,25
2020 Aug 31-Sep 13,4,29,49,18
2019 Sep 3-15,4,34,44,17
2018 Sep 4-12,4,36,40,19
2017 Sep 6-10,3,32,46,18
2016 Sep 7-11,3,32,43,20
2015 Sep 9-13,3,29,45,23
2014 Sep 4-7,3,25,50,20
2013 Sep 5-8,6,28,44,22
2012 Sep 6-9,4,30,47,18
2011 Sep 8-11,5,26,50,19
2010 Sep 13-16,5,31,42,21
2009 Aug 31-Sep 2,6,39,38,17
2008 Sep 8-11,4,43,38,12
2007 Sep 14-16,5,45,36,12
2006 Sep 7-10,6,50,31,10
2005 Sep 12-15,8,54,31,6
2004 Sep 13-15,7,53,33,6
2003 Sep 8-10,8,55,31,5
2002 Sep 5-8,9,58,26,6
2001 Sep 7-10,7,58,28,6
2000 Jul 6-9,11,57,24,7
1999 Feb 4-8,8,49,34,7
1998 Dec 28-29,13,48,30,7
1997 May 30-Jun 1,6,48,36,8
1976 Jun,9,52,31,6
1974 Apr,13,55,24,4
1972 May,13,58,22,3
