"			Date",pollster,Democrat %,Republican %
2024,PEW,35,11
2023,PEW,25,8
2022,PEW,29,9
2021,PEW,36,9
2020,PEW,15,32
2019,PEW,14,21
2018,PEW,15,22
2017,PEW,15,28
2016,PEW,26,11
2015,PEW,17,11
2014,CNN,32,16
2013,PEW,31.8,9.8
2012,CBS/NYT,29,16
2011,PEW,23.8,13.6
2010,CBS/NYT,30.667,13.444
2009,CBS/NYT,31.333,12.667
2008,PEW,25.333,24
2007,NES,20,37
2006,CBS/NYT,20.6,48.4
2005,PEW,20.75,44.75
2004,CNN,29.5,58
2003,PEW,30,46.5
2002,PEW,38,54.333
2001,CBS/NYT,41,66
2000,CBS/NYT,43.5,36.6
1999,PEW,37.75,28.857
1998,CNN,37.125,26.375
1997,CBS/NYT,38,24.25
,,,
,,,
,,,
,,,
,,,
,,,
,CBS/NYT,35,10
,CNN,30,22
,NES,34,31
,CBS/NYT,12,19
,CBS/NYT,18,31
,PEW,22,43
,CBS/NYT,20,50
,CBS/NYT,20,44
,PEW,20,53
,CBS/NYT,23,51
,GALLUP,20,44
,CBS/NYT,19,52
,PEW,19,49
,CBS/NYT,21,42
,GALLUP,24,36
,NES,35,61
,PEW,24,55
,GALLUP,35,42
,CBS/NYT,25,51
,NES,52,63
,GALLUP,38,55
,CBS/NYT,32,52
,CBS/NYT,34,45
,GALLUP,33,55
,CBS/NYT,39,56
,CBS/NYT,39,60
,CBS/NYT,47,70
,GALLUP,52,68
,CBS/NYT,26,38
,NES,48,43
,GALLUP,42,41
,ABC/POST,38,24
,PEW,46,37
,CBS/NYT,31,27
,CBS/NYT,42,35
,PEW,36,30
,PEW,35,25
,ABC/POST,41,21
,GALLUP,38,29
,CBS/NYT,42,33
,CBS/NYT,37,29
,NES,45,35
,PEW,31,23
,CBS/NYT,28,22
,CBS/NYT,28,25
,ABC/POST,40,30
,PEW,42,28
,GALLUP,52,26
,CBS/NYT,31,22
,PEW,46,32
,GALLUP,39,25
,CBS/NYT,29,20
,CBS/NYT,31,20
,NES,40,27
,GALLUP,32,20
,ABC/POST,41,35
,ABC/POST,27,26
,GALLUP,24,21
,CBS/NYT,20,20
,ABC/POST,27,20
,CBS/NYT,18,19
,NES,26,18
,CBS/NYT,26,19
,ABC/POST,27,16
,GALLUP,23,11
,GALLUP,25,14
,ABC/POST,30,18
,GALLUP,32,11
,ABC/POST,32,25
,CBS/NYT,26,21
,CBS/NYT,17,31
,NES,31,34
,GALLUP,17,31
,ABC/POST,31,41
,CBS/NYT,40,56
,ABC/POST,41,52
,NES,26,32
,CBS/NYT,21,31
,ABC/POST,37,48
,ABC/POST,32,46
,CBS/NYT,27,45
,CBS/NYT,37,54
,CBS/NYT,36,58
,NES,35,51
,ABC/POST,31,51
,CBS/NYT,36,47
,ABC/POST,38,59
,CBS/NYT,34,54
,CBS/NYT,36,51
,ABC/POST,39,51
,NES,31,53
,CBS/NYT,37,63
,ABC/POST,30,51
,CBS/NYT,36,51
,CBS/NYT,42,59
,ABC/POST,30,48
,ABC/POST,29,49
,ABC/POST,30,62
,CBS/NYT,36,59
,NES,41,50
,NES,32,41
,CBS/NYT,40,42
,NES,31,23
,CBS/NYT,30,22
,CBS/NYT,32,28
,NES,33,26
,CBS/NYT,40,25
,CBS/NYT,37,34
,NES,30,42
,CBS/NYT,38,45
,CBS/NYT,36,36
,GALLUP,31,40
,NES,36,38
,NES,48,62
,NES,52,61
,NES,66,60
,NES,71,54
,NES,80,73
,NES,71,79
