"			Date",pollster,Indivpolls,Movavg,Movavgyr
2024,PEW,22,22,22
2023,PEW,16,19,19
2022,PEW,20,20,20
2021,PEW,24,21,21
2020,PEW,20,24,24
2019,PEW,27,21,21
2018,PEW,17,17,17
2017,PEW,18,18,18
2016,PEW,20,19,19
2015,PEW,19,18,18
2014,CNN,14,19,18.5
2013,PEW,22,19,20.8
2012,PEW,22,9,19
2011,NES,10,10,18.8
2010,uhoh,10,10,22.2
2009,NES,10,10,22
2008,NES,100,10,24.333
2007,NES,10,10,26
2006,NES,10,10,31
2005,NES,10,10,29.5
2004,NES,10,10,39.3
2003,CBS,10,10,39.5
2002,CS,10,10,43.5
2001,BCS,10,10,50.667
2000,NES,10,10,39.1667
1999,TRPA,100,10,33.75
1998,apei,10,10,31.1111
1997,seya,10,0,28.75
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,CNN,26,25,
,NES,31,24,
,CBS/NYT,17,24,
,CBS/NYT,24,24,
,PEW,31,28,
,CBS/NYT,29,29,
,CBS/NYT,28,30,
,PEW,34,31,
,CBS/NYT,32,33,
,GALLUP,32,32,
,CBS/NYT,32,32,
,PEW,31,31,
,CBS/NYT,29,30,
,GALLUP,30,35,
,NES,46,39,
,CBS/NYT,40,41,
,PEW,36,38,
,GALLUP,37,36,
,CBS/NYT,36,43,
,NES,55,46,
,GALLUP,46,46,
,CBS/NYT,38,40,
,CBS/NYT,38,40,
,GALLUP,44,43,
,CBS/NYT,46,46,
,CBS/NYT,48,49,
,CBS/NYT,55,54,
,GALLUP,60,49,
,CBS/NYT,31,44,
,CBS/NYT,40,38,
,NES,44,42,
,GALLUP,42,39,
,ABC/POST,31,38,
,PEW,40,34,
,CBS/NYT,30,36,
,CBS/NYT,38,33,
,PEW,31,33,
,PEW,31,31,
,ABC/POST,32,32,
,GALLUP,33,34,
,CBS/NYT,37,34,
,CBS/NYT,33,37,
,NES,40,33,
,PEW,26,30,
,CBS/NYT,24,26,
,CBS/NYT,26,28,
,ABC/POST,34,31,
,PEW,34,35,
,GALLUP,39,33,
,CBS/NYT,26,32,
,ABC/POST,31,32,
,PEW,39,31,
,ABC/POST,22,31,
,GALLUP,32,26,
,CBS/NYT,23,27,
,CBS/NYT,25,27,
,NES,33,28,
,GALLUP,27,31,
,ABC/POST,34,29,
,ABC/POST,25,27,
,GALLUP,22,22,
,CBS/NYT,20,21,
,ABC/POST,22,20,
,CBS/NYT,18,21,
,NES,22,21,
,CBS/NYT,22,22,
,ABC/POST,22,20,
,GALLUP,17,19,
,GALLUP,19,20,
,ABC/POST,24,22,
,GALLUP,22,25,
,ABC/POST,28,25,
,CBS/NYT,24,25,
,CBS/NYT,22,25,
,NES,29,25,
,GALLUP,23,29,
,ABC/POST,35,35,
,CBS/NYT,47,42,
,ABC/POST,45,46,
,ABC/POST,46,40,
,NES,28,33,
,CBS/NYT,25,32,
,ABC/POST,42,35,
,ABC/POST,38,38,
,CBS/NYT,35,39,
,CBS/NYT,44,41,
,CBS/NYT,44,43,
,NES,41,41,
,ABC/POST,39,40,
,CBS/NYT,41,43,
,ABC/POST,47,43,
,CBS/NYT,42,44,
,CBS/NYT,43,43,
,ABC/POST,44,42,
,NES,39,44,
,CBS/NYT,49,43,
,ABC/POST,40,44,
,CBS/NYT,42,44,
,CBS/NYT,49,43,
,ABC/POST,38,42,
,ABC/POST,37,40,
,CBS/NYT,46,42,
,ABC/POST,43,45,
,CBS/NYT,46,44,
,NES,44,41,
,NES,33,39,
,CBS/NYT,39,32,
,NES,25,30,
,CBS/NYT,26,27,
,CBS/NYT,30,28,
,NES,29,31,
,CBS/NYT,33,32,
,CBS/NYT,35,34,
,NES,33,36,
,CBS/NYT,40,35,
,CBS/NYT,33,35,
,GALLUP,33,34,
,CBS/NYT,36,35,
,NES,36,36,
,NES,53,53,
,NES,54,54,
,NES,62,62,
,NES,65,65,
,NES,77,77,
,NES,73,73,
